nome,endereco,telefone,website,categoria,nota,reviews,latitude,longitude,place_id,fonte,data_coleta,horario_funcionamento,nivel_preco,score,criterios_atingidos,qualificado,nivel_qualificacao,data_qualificacao,observacoes_qualificacao
Mili Supermercado,"Rua João Chrisóstomo Filho, 1945 - Chácara Santo Antônio (Zona Leste), São Paulo - SP, 03408-010",(11) 96976-5059,,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.2,77,-23.5471783,-46.5552387,ChIJb1TDLYhezpQRAsDVm84SZLk,Google Places,03/09/2025 21:36:49,"['segunda-feira: 07:30\u2009–\u200919:00', 'terça-feira: 07:30\u2009–\u200919:00', 'quarta-feira: 07:30\u2009–\u200919:00', 'quinta-feira: 07:30\u2009–\u200919:00', 'sexta-feira: 07:30\u2009–\u200919:00', 'sábado: 07:30\u2009–\u200919:00', 'domingo: 08:00\u2009–\u200913:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:58,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Dia Brasil,"R. Cantagalo, 1508 - Vila Gomes Cardim, São Paulo - SP, 03319-001",0800 723 1470,https://www.dia.com.br/,"['supermarket', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",3.7,710,-23.544388,-46.5594454,ChIJkS1jiItezpQRP129v-hiOVo,Google Places,03/09/2025 21:36:51,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200920:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:38:59,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Supermercado Vovó Zuzu,"R. Dom Pedro II, 928 - Centro Histórico de São Paulo, São Paulo - SP, 01015-070",(11) 3469-6900,https://vovozuzusupermercados.com.br/,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.1,17526,-23.548495,-46.63049609999999,ChIJFZlBQwBZzpQRl0JV-Egn51Y,Google Places,03/09/2025 21:36:53,"['segunda-feira: 06:30\u2009–\u200922:00', 'terça-feira: 06:30\u2009–\u200922:00', 'quarta-feira: 06:30\u2009–\u200922:00', 'quinta-feira: 06:30\u2009–\u200922:00', 'sexta-feira: 06:30\u2009–\u200922:00', 'sábado: 06:30\u2009–\u200922:00', 'domingo: 08:00\u2009–\u200920:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:39:01,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Semar Supermercados - São Miguel Paulista,"Av. São Miguel, 2104 - Vila Marieta, São Paulo - SP, 03620-001",,https://www.semarentrega.com.br/,"['supermarket', 'atm', 'meal_delivery', 'bakery', 'liquor_store', 'grocery_or_supermarket', 'finance', 'food', 'point_of_interest', 'store', 'establishment']",3.7,3356,-23.5119711,-46.5108255,ChIJI_PfZ4RgzpQR6Hcppk1mA7o,Google Places,03/09/2025 21:36:55,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 07:00\u2009–\u200920:00']",0,3,"['Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:39:01,"Lead qualificado. Critérios atingidos: Site ativo, Endereço válido, Nome válido"
Supermercado Monte Alverne - temos delivery,"Rua Frei Mont'Alverne, 410/420 - Vila Aricanduva, São Paulo - SP, 03505-030",(11) 98775-7656,https://www.lojalocal.com/amstel/03408660000102,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.1,1663,-23.5364635,-46.5375856,ChIJFzF5BGtezpQRkEvpV_scrl4,Google Places,03/09/2025 21:36:57,"['segunda-feira: 07:00\u2009–\u200920:00', 'terça-feira: 07:00\u2009–\u200920:00', 'quarta-feira: 07:00\u2009–\u200920:00', 'quinta-feira: 07:00\u2009–\u200920:00', 'sexta-feira: 07:00\u2009–\u200920:00', 'sábado: 07:00\u2009–\u200920:00', 'domingo: 08:00\u2009–\u200914:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:39:02,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Saúde Supermercados - Loja 6,"Av. Penha de França, 774 - Vila Sao Geraldo, São Paulo - SP, 03606-000",(11) 2642-9711,,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.0,1278,-23.5199766,-46.5463008,ChIJw-CvilJezpQRijyPYn75BfM,Google Places,03/09/2025 21:36:59,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200918:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:39:02,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Extra Mercado,"R. Condessa de São Joaquim, 303 - Liberdade, São Paulo - SP, 01320-000",0800 779 6761,https://www.clubeextra.com.br/,"['supermarket', 'convenience_store', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",3.3,1022,-23.5578121,-46.640107,ChIJwXjUtq9ZzpQRwc8VoMdscrY,Google Places,03/09/2025 21:37:01,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 08:00\u2009–\u200921:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:39:03,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Extra Mercado,"Av. da Liberdade, 455 - Liberdade, São Paulo - SP, 01503-001",0800 779 6761,https://www.clubeextra.com.br/,"['supermarket', 'convenience_store', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",3.4,2550,-23.556994,-46.6361661,ChIJlx4Pz6hZzpQRogieAKCiBeI,Google Places,03/09/2025 21:37:03,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 07:00\u2009–\u200921:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:39:03,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Supermercado Padrão - Unidade Butantã,"Av. Vital Brasil, 652 - Butantã, São Paulo - SP, 05503-000",(11) 3814-3321,http://padraosuper.com.br/,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.3,9870,-23.5704769,-46.7104097,ChIJlxcSllRWzpQRGmqPMN3Wbbo,Google Places,03/09/2025 21:37:05,"['segunda-feira: 06:00\u2009–\u200923:00', 'terça-feira: 06:00\u2009–\u200923:00', 'quarta-feira: 06:00\u2009–\u200923:00', 'quinta-feira: 06:00\u2009–\u200923:00', 'sexta-feira: 06:00\u2009–\u200923:00', 'sábado: 06:00\u2009–\u200923:00', 'domingo: 07:00\u2009–\u200922:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:39:03,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Ana Paula Supermercado,"R. Bataguaçu, 09 - Vila Maria Alta, São Paulo - SP, 02129-020",(11) 97875-8707,,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.5,59,-23.5013646,-46.5893088,ChIJo3GjZldfzpQRIS07O1PP67Y,Google Places,03/09/2025 21:37:07,"['segunda-feira: 09:00\u2009–\u200920:00', 'terça-feira: 09:00\u2009–\u200922:00', 'quarta-feira: 09:00\u2009–\u200922:00', 'quinta-feira: 09:00\u2009–\u200922:00', 'sexta-feira: 09:00\u2009–\u200923:00', 'sábado: 09:00\u2009–\u200923:00', 'domingo: 09:00\u2009–\u200920:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 21:39:03,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
